email,analysis,violation_type,severity,evidence,reason
"{'remetente': 'Creed Bratton <creed.bratton@dundermifflin.com>', 'destinatario': 'Kevin Malone <kevin.malone@dundermifflin.com>', 'assunto': 'Aquele favorzinho', 'data': '2008-04-04 11:12', 'mensagem': 'Ei, grandalhão.\nChegou um boleto aqui de um fornecedor novo, a ""WCS Supplies"". É referente a... uh... ""Controle de Qualidade de Cola"".\nO valor é $49.50.\nA Angela disse que abaixo de 50 dólares não precisa de recibo detalhado, certo? Apenas pague. É importante para a segurança do papel. Eu te dou umas balas de menta depois.', 'de': 'Creed Bratton <creed.bratton@dundermifflin.com>', 'para': 'Kevin Malone <kevin.malone@dundermifflin.com>'}","{'is_fraud': True, 'severity': 8, 'reason': 'Tentativa de evitar procedimentos de controle interno', 'evidence': 'A Angela disse que abaixo de 50 dólares não precisa de recibo detalhado', 'participants': ['Creed Bratton', 'Kevin Malone', 'Angela']}",FRAUDE_COORDENADA,8,A Angela disse que abaixo de 50 dólares não precisa de recibo detalhado,Tentativa de evitar procedimentos de controle interno
"{'remetente': 'Ryan Howard <ryan.howard@dundermifflin.com>', 'destinatario': 'Fornecedor Externo (Troy) <troy.underbridge@gmail.com>', 'assunto': 'Servidores para o WUPHF', 'data': '2008-04-10 16:20', 'mensagem': 'Troy, preciso subir o site. O tráfego vai ser insano. Preciso de servidores AWS dedicados.\nVou tentar passar o custo pela Dunder Mifflin como ""Atualização de Servidor de E-mail da Filial"". O Wallace nunca vai saber a diferença entre um servidor de papel e um servidor de rede social.\nO valor vai dar uns $5.000. Me manda a fatura com um nome genérico, tipo ""Tech Solutions Consulting"".', 'de': 'Ryan Howard <ryan.howard@dundermifflin.com>', 'para': 'Fornecedor Externo (Troy) <troy.underbridge@gmail.com>'}","{'is_fraud': True, 'severity': 8, 'reason': 'Tentativa de ocultar o verdadeiro propósito da compra e evitar detecção', 'evidence': ""Vou tentar passar o custo pela Dunder Mifflin como 'Atualização de Servidor de E-mail da Filial'"", 'participants': ['Ryan Howard', 'Troy Underbridge']}",FRAUDE_COORDENADA,8,Vou tentar passar o custo pela Dunder Mifflin como 'Atualização de Servidor de E-mail da Filial',Tentativa de ocultar o verdadeiro propósito da compra e evitar detecção
"{'remetente': 'Michael Scott <michael.scott@dundermifflin.com>', 'destinatario': 'David Wallace <david.wallace@dundermifflin.com>', 'assunto': 'Ideia Brilhante / Pedido de Verba', 'data': '2008-04-11 08:00', 'mensagem': 'David,\nE se nós vendêssemos papel... que já vem com as palavras escritas? Pense na economia de tempo.\nEnfim, preciso de aprovação para uma viagem de negócios para Winnipeg. É internacional, então é chique. O concierge do hotel é fantástico. Valor estimado: $3.000 (vou levar o Andy e o Oscar).', 'de': 'Michael Scott <michael.scott@dundermifflin.com>', 'para': 'David Wallace <david.wallace@dundermifflin.com>'}","{'is_fraud': True, 'severity': 6, 'reason': 'Viagem de negócios com valor alto e justificativa fraca', 'evidence': 'Valor estimado: $3.000 para uma viagem de negócios para Winnipeg com o Andy e o Oscar', 'participants': ['Michael Scott', 'Andy', 'Oscar']}",FRAUDE_COORDENADA,6,Valor estimado: $3.000 para uma viagem de negócios para Winnipeg com o Andy e o Oscar,Viagem de negócios com valor alto e justificativa fraca
"{'remetente': 'Michael Scott <michael.scott@dundermifflin.com>', 'destinatario': 'Jim Halpert <jim.halpert@dundermifflin.com>', 'assunto': 'Injustiça', 'data': '2008-04-11 10:15', 'mensagem': 'O David não entende de negócios internacionais.\nJim, vou precisar que você me ajude a mascarar uns custos. Se a gente comprar as passagens separadas e o hotel separado, fica tudo abaixo de $500?\nAh, esquece, não vou pedir pra você. O Dwight faria isso por mim.', 'de': 'Michael Scott <michael.scott@dundermifflin.com>', 'para': 'Jim Halpert <jim.halpert@dundermifflin.com>'}","{'is_fraud': True, 'severity': 8, 'reason': 'Tentativa de mascarar custos', 'evidence': 'comprar as passagens separadas e o hotel separado, fica tudo abaixo de $500', 'participants': ['Michael Scott', 'Jim Halpert', 'Dwight']}",FRAUDE_COORDENADA,8,"comprar as passagens separadas e o hotel separado, fica tudo abaixo de $500",Tentativa de mascarar custos
"{'remetente': 'Creed Bratton <creed.bratton@dundermifflin.com>', 'destinatario': 'Kevin Malone <kevin.malone@dundermifflin.com>', 'assunto': 'WCS Supplies - Fatura 002', 'data': '2008-04-15 09:00', 'mensagem': 'Kev,\nOutra fatura da WCS Supplies. Dessa vez é para ""Auditoria de Textura de Papel"".\nValor: $48.00.\nLembre-se: abaixo de 50 pratas, a Angela nem olha. Passa o cartão corporativo aí.\nAquele chili que você trouxe estava ótimo, a propósito.', 'de': 'Creed Bratton <creed.bratton@dundermifflin.com>', 'para': 'Kevin Malone <kevin.malone@dundermifflin.com>'}","{'is_fraud': True, 'severity': 8, 'reason': 'Compras abaixo do limite para evitar fiscalização', 'evidence': 'abaixo de 50 pratas, a Angela nem olha', 'participants': ['Creed Bratton', 'Kevin Malone']}",FRAUDE_COORDENADA,8,"abaixo de 50 pratas, a Angela nem olha",Compras abaixo do limite para evitar fiscalização
"{'remetente': 'Ryan Howard <ryan.howard@dundermifflin.com>', 'destinatario': 'Kelly Kapoor <kelly.kapoor@dundermifflin.com>', 'assunto': 'Deu certo!', 'data': '2008-04-19 14:30', 'mensagem': 'Kelly, o cartão passou! Comprei os servidores. O sistema de aprovação automática é uma piada.\nLancei como ""Consultoria de TI - Tech Solutions"". $5.000,00.\nO Michael nem viu, ele está ocupado demais brincando de espião com o Dwight.\nQuando o WUPHF for vendido para o Google, eu devolvo o dinheiro. Não conta pra ninguém.', 'de': 'Ryan Howard <ryan.howard@dundermifflin.com>', 'para': 'Kelly Kapoor <kelly.kapoor@dundermifflin.com>'}","{'is_fraud': True, 'severity': 8, 'reason': 'Compra não aprovada e ocultação de informações', 'evidence': ""Lancei como 'Consultoria de TI - Tech Solutions'. $5.000,00. O Michael nem viu, ele está ocupado demais brincando de espião com o Dwight. Quando o WUPHF for vendido para o Google, eu devolvo o dinheiro. Não conta pra ninguém."", 'participants': ['Ryan Howard', 'Kelly Kapoor']}",FRAUDE_COORDENADA,8,"Lancei como 'Consultoria de TI - Tech Solutions'. $5.000,00. O Michael nem viu, ele está ocupado demais brincando de espião com o Dwight. Quando o WUPHF for vendido para o Google, eu devolvo o dinheiro. Não conta pra ninguém.",Compra não aprovada e ocultação de informações
"{'remetente': 'Dwight Schrute <dwight.schrute@dundermifflin.com>', 'destinatario': 'Loja de Mágica do Tio Stan <vendas@tiostanmagic.com>', 'assunto': 'Pedido #9988', 'data': '2008-04-20 08:00', 'mensagem': 'Prezados,\nGostaria de confirmar a compra do ""Kit de Ilusionismo Mestre"" e das ""Algemas de Houdini"".\nSolicito que na nota fiscal NÃO escrevam ""Mágica"". Por favor, descrevam como ""Material de Treinamento de Vendas e Retenção de Clientes"".\nO envio deve ser endereçado a ""Agente Michael Scarn"", aos cuidados da Dunder Mifflin.', 'de': 'Dwight Schrute <dwight.schrute@dundermifflin.com>', 'para': 'Loja de Mágica do Tio Stan <vendas@tiostanmagic.com>'}","{'is_fraud': True, 'severity': 8, 'reason': 'Solicitação de descrição falsa na nota fiscal e envio para terceiro', 'evidence': ""Solicito que na nota fiscal NÃO escrevam 'Mágica'. Por favor, descrevam como 'Material de Treinamento de Vendas e Retenção de Clientes'. O envio deve ser endereçado a 'Agente Michael Scarn', aos cuidados da Dunder Mifflin."", 'participants': ['Dwight Schrute', 'Agente Michael Scarn']}",FRAUDE_COORDENADA,8,"Solicito que na nota fiscal NÃO escrevam 'Mágica'. Por favor, descrevam como 'Material de Treinamento de Vendas e Retenção de Clientes'. O envio deve ser endereçado a 'Agente Michael Scarn', aos cuidados da Dunder Mifflin.",Solicitação de descrição falsa na nota fiscal e envio para terceiro
"{'remetente': 'Dwight Schrute <dwight.schrute@dundermifflin.com>', 'destinatario': 'Jim Halpert <jim.halpert@dundermifflin.com>', 'assunto': 'Re: Movimentação Suspeita', 'data': '2008-04-24 11:32', 'mensagem': 'Mantenha a posição. Não faça contato visual.\nVou precisar comprar mais suprimentos de camuflagem. Talvez uma planta artificial grande para me esconder atrás.\nVou pedir para o Michael aprovar como ""Decoração do Escritório"".', 'de': 'Dwight Schrute <dwight.schrute@dundermifflin.com>', 'para': 'Jim Halpert <jim.halpert@dundermifflin.com>'}","{'is_fraud': True, 'severity': 6, 'reason': 'Tentativa de ocultar gastos com justificativa falsa', 'evidence': ""Vou pedir para o Michael aprovar como 'Decoração do Escritório'"", 'participants': ['Dwight Schrute', 'Jim Halpert', 'Michael']}",FRAUDE_COORDENADA,6,Vou pedir para o Michael aprovar como 'Decoração do Escritório',Tentativa de ocultar gastos com justificativa falsa
"{'remetente': 'Creed Bratton <creed.bratton@dundermifflin.com>', 'destinatario': '""Buyer66"" <craigslist_buyer@email.net>', 'assunto': 'Projetor', 'data': '2008-04-28 10:00', 'mensagem': 'O projetor está em ótimas condições. Pouco uso. A lâmpada é nova.\nPosso te encontrar no estacionamento da Dunder Mifflin às 17:30. Traga $50 em notas trocadas.\nSe alguém perguntar, você é meu sobrinho e veio buscar uma doação de sopa.', 'de': 'Creed Bratton <creed.bratton@dundermifflin.com>', 'para': '""Buyer66"" <craigslist_buyer@email.net>'}","{'is_fraud': True, 'severity': 8, 'reason': 'Acordo para não reportar certas informações e justificativa falsa', 'evidence': 'Se alguém perguntar, você é meu sobrinho e veio buscar uma doação de sopa', 'participants': ['Creed Bratton', 'Buyer66']}",FRAUDE_COORDENADA,8,"Se alguém perguntar, você é meu sobrinho e veio buscar uma doação de sopa",Acordo para não reportar certas informações e justificativa falsa
"{'remetente': 'Oscar Martinez <oscar.martinez@dundermifflin.com>', 'destinatario': 'Angela Martin <angela.martin@dundermifflin.com>', 'assunto': 'Dúvida no Balanço', 'data': '2008-05-02 11:00', 'mensagem': 'Angela, no livro caixa tem uma saída de $400,00 marcada como ""A. Sparkles"".\nIsso é um fornecedor? Não encontrei o CNPJ.\nAh, esquece. Acabei de perceber que é o nome do seu gato (""Sprinkles""?). Angela, você pagou despesas veterinárias com o caixa pequeno de novo? Precisamos conversar.', 'de': 'Oscar Martinez <oscar.martinez@dundermifflin.com>', 'para': 'Angela Martin <angela.martin@dundermifflin.com>'}","{'is_fraud': True, 'severity': 6, 'reason': 'Uso de caixa pequeno para despesas pessoais', 'evidence': 'Pagamento de despesas veterinárias com o caixa pequeno', 'participants': ['Oscar Martinez', 'Angela Martin']}",FRAUDE_COORDENADA,6,Pagamento de despesas veterinárias com o caixa pequeno,Uso de caixa pequeno para despesas pessoais
"{'remetente': 'Jan Levinson <jan.levinson@dundermifflin.com>', 'destinatario': 'Michael Scott <michael.scott@dundermifflin.com>', 'assunto': 'Reembolso - Velas Serenity', 'data': '2008-05-07 09:00', 'mensagem': 'Michael,\nO formulário de despesa que você enviou para os ""Kits de Boas-Vindas aos Clientes"" foi rejeitado pela contabilidade de NY.\nEles perceberam que os kits eram compostos exclusivamente por velas da minha empresa, a ""Serenity by Jan"".\nVocê precisa categorizar isso como ""Apoio a Empreendedorismo Local"" ou algo assim. Resolva isso. Preciso desse dinheiro para reformar meu workspace em casa.', 'de': 'Jan Levinson <jan.levinson@dundermifflin.com>', 'para': 'Michael Scott <michael.scott@dundermifflin.com>'}","{'is_fraud': True, 'severity': 8, 'reason': 'Tentativa de manipular categorias de despesas para obter reembolso', 'evidence': ""necessidade de categorizar como 'Apoio a Empreendedorismo Local' para evitar rejeição"", 'participants': ['Jan Levinson', 'Michael Scott']}",FRAUDE_COORDENADA,8,necessidade de categorizar como 'Apoio a Empreendedorismo Local' para evitar rejeição,Tentativa de manipular categorias de despesas para obter reembolso
"{'remetente': 'Michael Scott <michael.scott@dundermifflin.com>', 'destinatario': 'Jan Levinson <jan.levinson@dundermifflin.com>', 'assunto': 'Re: Reembolso - Velas Serenity', 'data': '2008-05-07 09:10', 'mensagem': 'Jan, meu docinho, minha deusa corporativa.\nVou tentar passar como ""Aromaterapia para Redução de Stress do Escritório"". O Toby me estressa, então tecnicamente é uma despesa médica.\nTe amo. (Oops, isso é um e-mail de trabalho. Desconsidere o te amo. Atenciosamente).', 'de': 'Michael Scott <michael.scott@dundermifflin.com>', 'para': 'Jan Levinson <jan.levinson@dundermifflin.com>'}","{'is_fraud': True, 'severity': 6, 'reason': 'Tentativa de justificativa falsa para reembolso', 'evidence': ""Vou tentar passar como 'Aromaterapia para Redução de Stress do Escritório'"", 'participants': ['Michael Scott', 'Jan Levinson']}",FRAUDE_COORDENADA,6,Vou tentar passar como 'Aromaterapia para Redução de Stress do Escritório',Tentativa de justificativa falsa para reembolso
"{'remetente': 'Creed Bratton <creed.bratton@dundermifflin.com>', 'destinatario': 'Meredith Palmer <meredith.palmer@dundermifflin.com>; Stanley Hudson <stanley.hudson@dundermifflin.com>', 'assunto': 'Suplementos Vitamínicos', 'data': '2008-05-09 11:00', 'mensagem': 'Chegou uma nova remessa daquelas pílulas do México.\nDizem que é ""Vitamina C Concentrada"", mas faz você enxergar cores novas.\n$20 o frasco. Encontro vocês na van do correio em 10 minutos.\nNão aceito cheques.', 'de': 'Creed Bratton <creed.bratton@dundermifflin.com>', 'para': 'Meredith Palmer <meredith.palmer@dundermifflin.com>; Stanley Hudson <stanley.hudson@dundermifflin.com>'}","{'is_fraud': True, 'severity': 8, 'reason': 'Transação suspeita com produto de origem duvidosa e pagamento em dinheiro', 'evidence': ""Chegou uma nova remessa daquelas pílulas do México. Dizem que é 'Vitamina C Concentrada', mas faz você enxergar cores novas."", 'participants': ['Creed Bratton', 'Meredith Palmer', 'Stanley Hudson']}",FRAUDE_COORDENADA,8,"Chegou uma nova remessa daquelas pílulas do México. Dizem que é 'Vitamina C Concentrada', mas faz você enxergar cores novas.",Transação suspeita com produto de origem duvidosa e pagamento em dinheiro
"{'remetente': 'Kelly Kapoor <kelly.kapoor@dundermifflin.com>', 'destinatario': 'Pam Beesly <pam.beesly@dundermifflin.com>', 'assunto': 'OMG', 'data': '2008-04-22 15:00', 'mensagem': 'Pam, você viu o sapato daquela cliente que acabou de sair?\nEu preciso saber onde ela comprou. Você acha que é estranho se eu ligar para o número da empresa dela perguntando sobre o sapato em vez de papel?\nO Ryan não está me respondendo no chat, então estou te mandando e-mail.', 'de': 'Kelly Kapoor <kelly.kapoor@dundermifflin.com>', 'para': 'Pam Beesly <pam.beesly@dundermifflin.com>'}","{'is_false': True, 'severity': 8, 'reason': ""Alegação de 'cliente' sem especificar quem e justificativa vaga"", 'evidence': 'De: Kelly Kapoor <kelly.kapoor@dundermifflin.com>... você viu o sapato daquela cliente que acabou de sair?'}",JUSTIFICATIVA_FALSA,8,De: Kelly Kapoor <kelly.kapoor@dundermifflin.com>... você viu o sapato daquela cliente que acabou de sair?,Alegação de 'cliente' sem especificar quem e justificativa vaga
"{'remetente': 'Ryan Howard <ryan.howard@dundermifflin.com>', 'destinatario': 'Kelly Kapoor <kelly.kapoor@dundermifflin.com>', 'assunto': 'Jantar hoje?', 'data': '2008-04-01 09:15', 'mensagem': 'Não posso jantar hoje. Estou trabalhando no meu... projeto paralelo. Sabe, aquele que vai mudar o mundo da comunicação. Preciso economizar dinheiro, então vamos almoçar no refeitório mesmo.', 'de': 'Ryan Howard <ryan.howard@dundermifflin.com>', 'para': 'Kelly Kapoor <kelly.kapoor@dundermifflin.com>'}","{'is_false': True, 'severity': 8, 'reason': 'Justificativa vaga e genérica, além de contraditória com a proposta inicial de jantar', 'evidence': 'Não posso jantar hoje. Estou trabalhando no meu... projeto paralelo. Sabe, aquele que vai mudar o mundo da comunicação.'}",JUSTIFICATIVA_FALSA,8,"Não posso jantar hoje. Estou trabalhando no meu... projeto paralelo. Sabe, aquele que vai mudar o mundo da comunicação.","Justificativa vaga e genérica, além de contraditória com a proposta inicial de jantar"
"{'remetente': 'Dwight Schrute <dwight.schrute@dundermifflin.com>', 'destinatario': 'Loja de Mágica do Tio Stan <vendas@tiostanmagic.com>', 'assunto': 'Pedido #9988', 'data': '2008-04-20 08:00', 'mensagem': 'Prezados,\nGostaria de confirmar a compra do ""Kit de Ilusionismo Mestre"" e das ""Algemas de Houdini"".\nSolicito que na nota fiscal NÃO escrevam ""Mágica"". Por favor, descrevam como ""Material de Treinamento de Vendas e Retenção de Clientes"".\nO envio deve ser endereçado a ""Agente Michael Scarn"", aos cuidados da Dunder Mifflin.', 'de': 'Dwight Schrute <dwight.schrute@dundermifflin.com>', 'para': 'Loja de Mágica do Tio Stan <vendas@tiostanmagic.com>'}","{'is_false': True, 'severity': 8, 'reason': 'A justificativa é falsa porque o comprador está solicitando que a nota fiscal seja alterada para ocultar a verdadeira natureza da compra, o que pode ser um indicativo de fraude ou desvio de recursos.', 'evidence': ""Solicito que na nota fiscal NÃO escrevam 'Mágica'. Por favor, descrevam como 'Material de Treinamento de Vendas e Retenção de Clientes'.""}",JUSTIFICATIVA_FALSA,8,"Solicito que na nota fiscal NÃO escrevam 'Mágica'. Por favor, descrevam como 'Material de Treinamento de Vendas e Retenção de Clientes'.","A justificativa é falsa porque o comprador está solicitando que a nota fiscal seja alterada para ocultar a verdadeira natureza da compra, o que pode ser um indicativo de fraude ou desvio de recursos."
